ID	POEM_NUMBER	POEM	STANZA	LINE_ORDER	LINE_IN_SOURCE	LINE	ALIGNMENT	RHYME	RHYME_WORD	RHYMEIDS
1	1	關睢	1.1	1	關關雎a[kiu]鳩	關 + 關 + 雎 + 鳩	關 + 關 + 雎 + kiu	a	鳩	0 0 0 1
2	1	關睢	1.1	2	在河之a[tjiu]洲。	在 + 河 + 之 + 洲	在 + 河 + 之 + tjiu	a	洲	0 0 0 1
3	1	關睢	1.1	3	窈宨淑女	窈 + 宨 + 淑 + 女	窈 + 宨 + 淑 + 女			0 0 0 0
4	1	關睢	1.1	4	君子好a[qiu]逑。（幽部）	君 + 子 + 好 + 逑	君 + 子 + 好 + qiu	a	逑	0 0 0 1
5	1	關睢	1.2	1	參差荇菜	參 + 差 + 荇 + 菜	參 + 差 + 荇 + 菜			0 0 0 0
6	1	關睢	1.2	2	左右a[liu]流之。	左 + 右 + 流 + 之	左 + 右 + liu + 之	a	流	0 0 2 0
7	1	關睢	1.2	3	窈宨淑女	窈 + 宨 + 淑 + 女	窈 + 宨 + 淑 + 女			0 0 0 0
8	1	關睢	1.2	4	寤寐a[giu]求之。（幽部）	寤 + 寐 + 求 + 之	寤 + 寐 + giu + 之	a	求	0 0 2 0
9	1	關睢	1.3	1	求之不b[tək]得	求 + 之 + 不 + 得	求 + 之 + 不 + tək	b	得	0 0 0 3
10	1	關睢	1.3	2	寤寐思b[biuək]服。	寤 + 寐 + 思 + 服	寤 + 寐 + 思 + biuək	b	服	0 0 0 3
11	1	關睢	1.3	3	悠哉悠哉	悠 + 哉 + 悠 + 哉	悠 + 哉 + 悠 + 哉			0 0 0 0
12	1	關睢	1.3	4	輾轉反b[tzhiək]側。（职部）	輾 + 轉 + 反 + 側	輾 + 轉 + 反 + tzhiək	b	側	0 0 0 3
13	1	關睢	1.4	1	參差荇菜	參 + 差 + 荇 + 菜	參 + 差 + 荇 + 菜			0 0 0 0
14	1	關睢	1.4	2	左右a[tsə]采之。	左 + 右 + 采 + 之	左 + 右 + tsə + 之	a	采	0 0 4 0
15	1	關睢	1.4	3	窈宨淑女	窈 + 宨 + 淑 + 女	窈 + 宨 + 淑 + 女			0 0 0 0
16	1	關睢	1.4	4	琴瑟a[hiuə]友之。（之部）	琴 + 瑟 + 友 + 之	琴 + 瑟 + hiuə + 之	a	友	0 0 4 0
17	1	關睢	1.5	1	參差荇菜	參 + 差 + 荇 + 菜	參 + 差 + 荇 + 菜			0 0 0 0
18	1	關睢	1.5	2	左右b[mô]芼之。	左 + 右 + 芼 + 之	左 + 右 + mô + 之	b	芼	0 0 5 0
19	1	關睢	1.5	3	窈宨淑女	窈 + 宨 + 淑 + 女	窈 + 宨 + 淑 + 女			0 0 0 0
20	1	關睢	1.5	4	鍾鼓b[lôk]樂之。（宵觉通韵）	鍾 + 鼓 + 樂 + 之	鍾 + 鼓 + lôk + 之	b	樂	0 0 5 0
21	2	葛覃	2.1	1	葛之覃兮	葛 + 之 + 覃 + 兮	葛 + 之 + 覃 + 兮			0 0 0 0
22	2	葛覃	2.1	2	施于中A[kok]谷。	施 + 于 + 中 + 谷	施 + 于 + 中 + kok	A	谷	0 0 0 6
23	2	葛覃	2.1	3	維葉萋b[tsyei]萋	維 + 葉 + 萋 + 萋	維 + 葉 + 萋 + tsyei	b	萋	0 0 0 7
24	2	葛覃	2.1	4	黃鳥于b[piuəi]飛。	黃 + 鳥 + 于 + 飛	黃 + 鳥 + 于 + piuəi	b	飛	0 0 0 7
25	2	葛覃	2.1	5	集于灌A[mok]木	集 + 于 + 灌 + 木	集 + 于 + 灌 + mok	A	木	0 0 0 6
